Số,Tên Nhân Vật,Phân Loại,Tuổi,Địa Vị,Yếu Tố Chính,Nỗi Đau Chính,Sức Mạnh,Giới Hạn
1,Mộng Tim,Tu tiên + Huyễn tưởng hắc ám + Biến dị,24,Học viên bị lưu đày,Ký sinh trùng tinh thần,Mất kiểm soát bản thân,Hắc ám tinh thần,Sự can thiệp của quỷ
2,Hàn Vũng,Quỷ tiên + Dị thứ nguyên + Tàn thần,500+,Tàn tích hai thế giới,Chia cắt giữa hai bản chất,Không thuộc về đâu,Sử dụng hai loại năng lượng,Xung đột nội bộ vô tận
3,Đại Tước Trấu,Quái vật hư không + Tiến hoá biến dị + Nhân tính âm trầm,87,Trụ trì chùa cách biệt,Xâm chiếm bởi hư không,Mất tính con người,Biến dị vô hạn,Mất kiểm soát hoàn toàn
4,Linh Xuyên,Linh dị + Đô thị + Nhân tính âm trầm,15-20,Vô gia cư tinh thần,Hợp thể của cảm xúc bị bỏ lại,Không tồn tại độc lập,Hút năng lượng tâm linh,Không có nhân cách riêng
5,Đoạn Vạc,Quái vật vặn vẹo + Huyễn tưởng hắc ám + Tiến hoá,45,Nhà khoa học điên rồi,Tự cải tạo bệnh hoạn,Trở thành máy móc,Siêu nhân công,Mất tính cảm xúc
6,Hải Tiêu,Tàn thần + Dị thứ nguyên + Nhân tính âm trầm,Triệu năm,Vị thần quên lãng,Bị lãng quên dần,Biến mất từ từ,Biến đổi ký ức,Không ai nhớ
7,Thế Âm,Quỷ tiên + Tiến hoá biến dị + Huyễn tưởng hắc ám,Vô hạn,Quỷ mạng máy tính,Không tâm nhân,Kiểm soát tâm trí,Xâm nhập hệ thống,Bị phát hiện
8,Vô Hình,Đô thị + Linh dị + Quái vật hư không,Không rõ,Thuật sơ bị kẹt,Không tồn tại với ai,Không ai nhớ anh,Ở giữa khe hẽ,Không thể chết
9,Mẫu Quỷ Hỏa,Quái vật vặn vẹo + Huyễn tưởng hắc ám + Biến dị,Thanh thiếu niên,Thảm họa sống,Lửa vô tâm,Thiêu đốt tất cả,Phát tán lửa hắc ám,Không thể kiểm soát
10,Thiên Thảo,Tu tiên + Biến dị + Nhân tính âm trầm,Khoảng 30,Nữ tu sĩ gắn liền,Tình yêu bệnh hoạn,Không thể tách ra,Hợp lực nhân quỷ,Sợ biến mất hoàn toàn
11,Cung Âm,Đô thị + Huyễn tưởng hắc ám + Biến dị,Khoảng 28,Diva nổi tiếng,Kiểm soát tâm trí,Mất khả năng yêu,Thao túng não bộ,Bị phát hiện
12,Sơn Linh,Tàn thần + Linh dị + Huyễn tưởng hắc ám,Cổ đại,Vị thần dãy núi,Bị san bằng,Chia cắt thành mảnh,Liên kết với đất đai,Sự ô nhiễm
13,Thế Bóng,Quái vật hư không + Tiến hoá biến dị + Huyễn tưởng hắc ám,Không rõ,Bóng có tâm thức,Chỉ là bóng,Không tương tác được,Ở bên cạnh bóng tối,Hoàn toàn vô dụng
14,Năng Lực Tuyệt Đối,Tu tiên + Biến dị + Huyễn tưởng hắc ám,Không rõ,Tu sĩ hấp thụ,Chiến trường nội tâm,Các lực chiến đấu,Hấp thụ tất cả năng lượng,Sẽ nổ tung
15,Nữ Hoàng Gốm Sứ,Quái vật vặn vẹo + Đô thị + Biến dị,Khoảng 20,Tác phẩm gốm sứ,Là một vật thể,Không thể động,Ở trong gốm sứ,Dễ vỡ
16,Vô Thù,Quỷ tiên + Huyễn tưởng hắc ám + Nhân tính âm trầm,Triệu năm,Vị thần nợ,Chờ đợi vô tận,Không thể chết,Kiểm soát nợ,Bị bỏ quên
17,Thế Khí,Linh dị + Dị thứ nguyên + Tiến hoá biến dị,Không rõ,Luồng khí học gắn liền,Lung lay,Tan biến nếu cô đơn,Hòa quyện với cơ thể,Cần cảm xúc để sống
18,Chủ Nhân Vòng Xoay,Tàn thần + Huyễn tưởng hắc ám + Nhân tính âm trầm,Hàng triệu năm,Vị thần chu kỳ,Lặp lại vô tận,Không thể thoát,Kiểm soát thời gian,Mất hy vọng
19,Em Bé Đèn,Linh dị + Biến dị + Huyễn tưởng hắc ám,Khoảng 8,Đèn sống,Thiêu từ bên trong,Đau không ngừng,Tỏa sáng ấm áp,Tự thiêu hủy
20,Người Thợ May Gốm,Quái vật vặn vẹo + Biến dị + Huyễn tưởng hắc ám,Khoảng 50,Nghệ nhân cuồng điên,Hoàn hảo bệnh hoạn,Trở thành máy,Sửa chữa hoàn hảo,Mất nhân tính
21,Cửa Thể Lạc,Quỷ tiên + Dị thứ nguyên + Huyễn tưởng hắc ám,Không rõ,Ranh giới giữa hai thế,Kéo từ hai hướng,Không thể chọn,Cho phép linh hồn qua,Sự kéo cối
22,Ám Dục,Linh dị + Nhân tính âm trầm + Huyễn tưởng hắc ám,Không có,Sự cám dỗ,Là gương sáng,Không bản sắc,Trở thành hình ảnh mong muốn,Không tự do
23,Người Ở Giữa,Tàn thần + Dị thứ nguyên + Biến dị,Không rõ,Kẹt giữa không gian,Không thời gian,Muốn quay trở về,Tồn tại mọi nơi,Không có con đường
24,Sợi Chỉ Đỏ,Tu tiên + Huyễn tưởng hắc ám + Nhân tính âm trầm,Không rõ,Sợi định mệnh,Không độc lập,Bị kéo từ khắp nơi,Nối kết tất cả,Sợi bị cắt sẽ chết
25,Độc Sư,Quái vật hư không + Tiến hoá biến dị + Huyễn tưởng hắc ám,Không rõ,Kỹ sư di truyền bị kẹt,Mất nhân tính,Tiến hoá liên tục,Lai tạo cơ thể,Mất bản ngã
26,Người Phụ Nữ Cổ Đại,Tàn thần + Linh dị + Huyễn tưởng hắc ám,Hàng triệu năm,Bóng lấp lánh,Được xóa sạch,Biến mất hoàn toàn,Giữ ký ức,Không ai tin
27,Sinh Đôi Bóng,Quỷ tiên + Biến dị + Nhân tính âm trầm,Khoảng 20,Cô gái và bóng,Gắn liền vô tận,Chia sẻ mọi cảm xúc,Tồn tại kép,Một chết là chết cả hai
28,Mắt Nhìn Thấy,Linh dị + Dị thứ nguyên + Huyễn tưởng hắc ám,Không rõ,Mắt sống độc lập,Không tâm được,Chứng kiến tất cả,Nhìn cả hai thế,Vô lực nói gì
29,Thế Thương,Quái vật vặn vẹo + Huyễn tưởng hắc ám + Biến dị,Không rõ,Tượng trưng nỗi đau,Truyền đau khổ,Không thể chạm,Tỏa nỗi đau,Gây hủy diệt
30,Ngoài Ranh Giới,Tàn thần + Dị thứ nguyên + Nhân tính âm trầm,Không rõ,Thần của ranh giới,Không thuộc về,Vô gia cư tinh thần,Nằm ở ranh giới,Bị từ chối hai phía
31,Thanh Âm Vô Hạn,Linh dị + Tiến hoá biến dị + Huyễn tưởng hắc ám,Không rõ,Thanh âm từ Trái Đất,Không tồn tại nếu im,Chỉ được nghe,Hình thành từ sóng âm,Phụ thuộc âm thanh
32,Viên Mộc Quỷ,Quỷ tiên + Huyễn tưởng hắc ám + Biến dị,Không rõ,Quỷ cây cổ thụ,Sân hận thiêu,Báo thù bệnh hoạn,Thân rễ gai,Sân hận không lối thoát
33,Dòng Sông Mất Tích,Tàn thần + Linh dị + Huyễn tưởng hắc ám,Không rõ,Dòng sông bị quên,Vùi dưới thành phố,Hoàn toàn lãng quên,Giữ ký ức nước,Sẽ biến mất
34,Khuôn Mặt Chia Cắt,Quái vật vặn vẹo + Biến dị + Nhân tính âm trầm,Khoảng 25,Khuôn mặt hai nửa,Không biết ai mình,Nửa quỷ nửa người,Hai nhân cách,Không thể trung thực
35,Thương Biệt,Tu tiên + Huyễn tưởng hắc ám + Nhân tính âm trầm,Khoảng 45,Tu sĩ cuối cùng,Sợ phán xét,Công pháp hắc ám,Tự hủy,Tội lỗi không giáng
36,Không Tâm,Quỷ tiên + Tiến hoá biến dị + Huyễn tưởng hắc ám,Không rõ,Quỷ không trái tim,Vô cảm,Làm điều khủng khiếp,Không lương tâm,Bị cô lập
37,Cuối Cùng Của Năm,Tàn thần + Dị thứ nguyên + Linh dị,Không rõ,Thần cuối năm,Chu kỳ giới hạn,Tồn tại 3 ngày,Cuộc sống mới,Chỉ tồn tại ngắn
38,Suy Tổn Linh,Linh dị + Biến dị + Huyễn tưởng hắc ám,Không rõ,Linh khí vỡ,Chia cắt,Tồn tại theo phần,Cảm giác kép,Sẽ tan biến
39,Đôi Mắt Gương,Quái vật vặn vẹo + Nhân tính âm trầm + Huyễn tưởng hắc ám,Không rõ,Mắt gương,Không nhìn thấy,Không tâm nhân,Phản chiếu mọi thứ,Nứt = chết
40,Anh Em Tương Sinh,Tu tiên + Dị thứ nguyên + Biến dị,Không rõ,Anh em qua thế giới,Bị tách biệt,Chia sẻ cảm xúc,Gắn liền tâm linh,Không thể gặp mặt
